Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2002-06-13,41.313323974609375,7.64783763885498,,6.300000190734862,15.2385892868042,3.2689387798309326,17.94362449645996,9.390000343322754,18.30154037475586,4.0213236808776855
2002-06-14,41.395416259765625,7.818021774291992,,5.670000076293945,15.423680305480955,3.1825554370880127,15.553784370422365,9.600000381469727,18.425437927246094,4.112342834472656
2002-06-17,41.74024200439453,8.035014152526855,,6.0,15.924945831298828,3.296217918395996,14.740644454956055,10.800000190734863,18.63192749023437,4.203360080718993
2002-06-18,42.20000457763672,8.243495941162111,,6.199999809265138,16.156303405761722,3.363278865814209,14.91913890838623,10.300000190734863,18.87018585205078,4.1537132263183585
2002-06-19,41.953704833984375,8.009488105773926,,6.389999866485597,15.739864349365234,3.2803056240081787,13.426728248596193,8.699999809265138,19.15610885620117,4.368845939636231
2002-06-20,41.64499282836914,8.013742446899414,,6.389999866485597,15.400541305541992,3.251889944076538,13.783716201782227,8.270000457763674,19.429311752319336,4.004774093627931
2002-06-21,40.7221908569336,7.686126708984375,,6.739999771118164,15.19232177734375,3.2007415294647217,13.111374855041506,8.039999961853027,19.38165855407715,3.8061909675598153
2002-06-24,40.76160049438477,7.918009281158447,,6.800000190734862,14.768170356750488,3.1893749237060547,13.473648071289062,8.699999809265138,19.02903938293457,3.4172983169555664
2002-06-25,40.265708923339844,8.107344627380371,,6.75,14.459698677062988,3.250753164291382,13.63741683959961,8.380000114440918,18.263427734375,3.3345551490783687
2002-06-26,40.20330047607422,8.073306083679201,,7.1500000953674325,14.459698677062988,3.1734626293182373,13.696969985961914,8.970000267028809,17.500991821289062,3.56623649597168
2002-06-27,41.10641860961914,8.328587532043457,,7.190000057220459,14.513680458068848,3.296217918395996,13.840885162353516,9.050000190734863,17.38980484008789,4.120615482330321
2002-06-28,40.39378356933594,8.009488105773926,,8.470000267028809,14.652494430541992,3.3030378818511963,14.143609046936035,9.720000267028807,17.316743850708008,4.484686851501465
2002-07-01,41.83877944946289,7.935028076171875,,7.519999980926514,12.917327880859375,3.149592876434326,13.399209022521973,9.140000343322754,16.646429061889652,3.814465761184693
2002-07-02,41.3034553527832,7.824404239654541,,7.0,13.033008575439453,2.98364520072937,13.106410026550293,8.800000190734863,16.074609756469727,3.309731721878052
2002-07-03,41.41184616088867,7.892481327056885,,7.3499999046325675,13.495716094970705,2.9950122833251958,13.419059753417967,8.430000305175781,16.173088073730472,3.2931826114654537
2002-07-05,42.64990234375,7.971193790435791,,7.6599998474121085,13.804186820983887,3.0950350761413574,14.208123207092285,9.34000015258789,15.995187759399414,3.425572872161865
2002-07-08,42.413475036621094,7.871205806732178,,7.039999961853027,13.54969882965088,2.9586398601531982,13.721782684326172,9.050000190734863,16.439945220947266,3.3511033058166504
2002-07-09,42.03580856323242,7.532958507537843,,7.130000114440918,12.80165195465088,2.8768024444580083,13.508387565612793,8.979999542236328,15.960237503051758,3.1276965141296387
2002-07-10,40.7221908569336,7.211730003356934,,6.630000114440918,11.760552406311035,2.956366777420044,13.18581485748291,9.010000228881836,15.423358917236328,3.243536949157715
2002-07-11,39.86832809448242,6.838682174682617,,6.199999809265138,11.991908073425293,3.012061357498169,12.783838272094727,9.329999923706056,15.251818656921387,2.929112911224365
2002-07-12,39.69429397583008,7.1627869606018075,,6.5,10.87369441986084,3.0870788097381587,12.684584617614744,9.100000381469727,15.41066074371338,2.763625383377075
2002-07-15,39.04404067993164,7.454483985900879,,6.380000114440918,11.143607139587402,3.1086747646331787,13.146114349365234,9.25,14.676816940307615,2.689157724380493
2002-07-16,38.06210708618164,7.260020732879639,,6.4000000953674325,11.52919864654541,3.221200704574585,13.18581485748291,9.399999618530273,14.263833045959473,2.581590175628662
2002-07-17,38.57442092895508,7.476093292236327,,6.179999828338622,11.52919864654541,3.209834337234497,13.339654922485352,9.329999923706056,14.870603561401367,2.5650417804718018
2002-07-18,38.30842208862305,7.145501136779785,,6.28000020980835,10.719456672668457,3.0609362125396733,12.838428497314453,8.720000267028809,15.185104370117188,2.3085379600524902
2002-07-19,35.756710052490234,6.944553852081299,,6.289999961853027,11.452080726623535,2.9097647666931152,12.10395336151123,8.489999771118164,14.552923202514648,2.507121562957764
2002-07-22,35.796119689941406,6.914306163787843,,6.489999771118164,11.452080726623535,2.735860586166382,12.183354377746582,8.420000076293945,13.81908130645752,2.3995554447174072
2002-07-23,36.7025146484375,6.698235034942628,,5.989999771118164,11.197587966918944,2.796102285385132,11.8607816696167,8.149999618530272,13.64435577392578,1.8534499406814573
2002-07-24,39.31661987304688,7.227611541748048,,5.71999979019165,11.799114227294922,3.123450517654419,12.734210968017578,8.460000038146973,15.010379791259766,2.027210235595703
2002-07-25,39.39215087890625,8.128630638122559,,5.880000114440918,11.367250442504885,3.000694990158081,11.62753677368164,7.860000133514403,14.61328125,1.4645564556121826
2002-07-26,39.68770599365234,8.351184844970701,,6.050000190734862,11.467504501342773,3.0404770374298096,12.153579711914062,7.820000171661378,14.788005828857422,1.290795087814331
2002-07-29,41.595741271972656,8.567255020141603,,5.860000133514403,12.701395988464355,3.1814186573028564,12.709397315979006,8.149999618530272,15.534550666809082,1.8203520774841309
2002-07-30,41.21151351928711,8.729310035705566,,5.960000038146973,13.133261680603027,3.1961946487426762,12.376897811889648,8.449999809265138,15.661623001098633,1.754157781600952
2002-07-31,41.32316589355469,8.947542190551758,,6.619999885559082,12.724533081054688,3.264392375946045,11.890555381774902,8.029999732971191,15.966592788696287,1.6962376832962036
2002-08-01,40.108070373535156,8.623437881469728,,6.289999961853027,12.716821670532227,3.150729894638061,8.3521728515625,7.730000019073486,15.439248085021973,1.754157781600952
2002-08-02,39.36587524414063,8.66881275177002,,6.25,12.608854293823242,3.0609362125396733,8.659859657287598,7.309999942779541,14.984966278076172,1.7789804935455322
2002-08-05,38.32484436035156,8.178329467773438,,5.550000190734863,11.783689498901367,2.9722793102264404,8.287659645080566,7.570000171661378,13.914385795593262,1.7045115232467651
2002-08-06,39.83879089355469,8.225863456726074,,6.0,12.547162055969238,3.091625213623047,8.630083084106445,8.319999694824219,14.343253135681152,1.6217684745788574
2002-08-07,40.65650939941406,8.612631797790527,,6.0,12.709108352661133,3.1802821159362797,8.74422550201416,8.600000381469728,14.59739589691162,1.4893791675567627
2002-08-08,41.44467544555664,8.804933547973633,,6.0900001525878915,12.87105941772461,3.1120846271514893,8.818666458129883,8.9399995803833,14.930963516235352,1.7293344736099243
2002-08-09,41.42825317382813,8.71418571472168,,5.510000228881836,12.739957809448242,3.1632325649261475,8.788887977600098,8.829999923706055,15.50278091430664,1.861724615097046
2002-08-12,41.257484436035156,8.802774429321289,,5.929999828338622,12.678264617919922,3.056389570236206,8.98243236541748,8.829999923706055,15.50278091430664,1.7707065343856812
2002-08-13,40.7221908569336,8.539165496826174,,5.610000133514403,12.431483268737793,2.954092741012573,8.868291854858398,8.5,15.887174606323242,1.7376089096069336
